2025-11-06 00:48:48 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=23&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:51 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=24&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=24&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=25&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=25&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=26&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=26&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:55 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=27&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=27&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=28&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=28&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=29&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=29&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=30&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:56 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=30&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=31&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=31&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=32&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=32&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=33&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=33&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:57 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=34&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=34&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=35&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=35&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=36&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=36&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=37&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:58 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=37&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=38&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=38&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:48:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=39&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:48:59 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=39&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:49:02 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=40&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:49:06 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=40&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:49:09 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=41&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:49:12 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=41&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:49:15 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=42&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:49:19 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=42&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:49:22 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=43&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:49:25 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=43&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:49:29 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=44&year=2024&ended=true; {'allow_redirects': True}
2025-11-06 00:49:32 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=44&year=2025&ended=true; {'allow_redirects': True}
2025-11-06 00:49:35 [session] [INFO]: GET -> https://api.sstats.net//Games/list?leagueid=45&year=2024&ended=true; {'allow_redirects': True}
